SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
d	40662421	3862193	38771 Crane Terrace	Fremont	CA	94536	37.569153	-121.964104	CONDO	575000	570000	3	2.5	1438	(null)	(null)	"Community Facility, Pool"	"1 Garage Space, Attached Garage"	Greenbelt	"Hookups Only, In Closet"	1985	2	Y	Regular	Contemporary	Forced Air 1 Zone	(null)	(null)	"Laminate, Wall to Wall Carpet"	325	(null)	0	0	0	0	48	Open sat 1-4pm & sun 1-3pm. Beautiful bright and open floor plan home with an attached garage! 3 large light filled bedrooms and 2.5 full bathrooms! Upgraded kitchen with granite counter tops with separate living and dining rooms. Full laundry hookups inside with patio serene patio. High ceilings!
a	81410603	11340516	686 South Garland Terrace	Sunnyvale	CA	94086	37.36521912	-122.0224457	TOWNHOUSE	658000	750500	3	2.5	1368	"Shingle, Composition"	720	(null)	"Detached, Electric Door or Gate Opener, Guest Parking, 2 Car Garage"	Neighborhood	"220 Volts In Kitchen, 220 Volts In Laundry Area, Laundry Area - Inside"	1974	(null)	Y	(null)	Contemporary	"Baseboard, Electric"	No Cooling	(null)	"Tile, Laminate, Wall to Wall Carpet"	408	Balcony or Patio	0	0	0	0	30	"Charming townhome in gated community. Remodeled kitchen & baths with granite counters & maple cabinets. Kitchen features stainless steel applcs, breakfast bar & balcony access; gas fireplace in living room, inside laundry, front private patio, fresh interior paint, wall-to-wall carpets, spacious master suite w/balcony, huge 2 car garage. Convenient location!"
a	81422319	11019309	1469 El Camino Real #6	Burlingame	CA	94010	37.58895493	-122.3743744	CONDO	495000	493000	2	1	901	(null)	10293	(null)	"Gate/Door Opener, Guest Parking, Uncovered Parking, 2 Car Carport"	Neighborhood	"In Laundry Room, Washer"	1979	(null)	Y	T Intersection	Contemporary	"Two or More Heating Zones, Electric"	(null)	(null)	"Tile, Wall to Wall Carpet"	287	"Balcony or Patio, Intercom, Cable TV Available, Skylight(s)"	0	0	0	0	54	"Renovated 2 bedroom-1 bath, with a spacious deck. Plush carpets/tile floors/granite counter tops/sinks/cabinet doors/crown moldings. Washer/dryer in unit. Includes:2 parking spaces/fireplace/ storage room/ security building. TIC project, Fractional interest w/individualized fractional loans. OFFERS AS THEY COME. Located on 3rd Floor at middle of Building. NO ELEVATOR"
c	21415369	7045784	148 Miller Ave	Mill Valley	CA	94941	37.903023	-122.544029	SFR	629000	755000	3	2	1387	Composition	13347	(null)	On Street Parking	"Bay, Bridges, City, Forest/Woods, Hills, Lights, Mountains, Ridge, Water"	Hookups Only	1905	2	(null)	"Upslope, Level"	"Cottage, Rustic"	Central Heat	(null)	Wood Siding	"Laminate, Part Carpet, Tile"	(null)	PG&E	0	0	0	0	25	"Downtown Mill Valley single family home. On street parking but easy! Whether you reach this charming 3BD, 2 BA home by the stairs or the state of the art cable car, you will be surrounded by nature & towering redwoods with a bird's eye view of the village & hills of Mill Valley, Alcatraz & San Francisco Bay. A light filled home highlighted by bamboo floors, large windows & sliding doors & multiple outdoor decks and patio areas"
a	81427393	11334650	569 Worley Avenue	Sunnyvale	CA	94085	37.38790512	-122.0181961	SFR	639000	711000	2	1	854	"Shingle, Composition"	4998	(null)	"Attached, Gate/Door Opener, Off Street Parking, 1 Car Garage"	Neighborhood	"In Garage, Dryer, Washer, 220 Volt Outlet"	1953	(null)	Y	Level	Ranch	"Wall Furnace, Gas"	(null)	Stucco	"Tile, Hardwood"	(null)	"Window Covering(s), Double Pane Window(s)"	0	0	0	0	31	"This charming home is great for those looking for an open floor-plan with lots of sunlight. kitchen with granite countertops and stainless steel appliances. Hardwood floors, dual-pane windows, wood burning fireplace, upgraded copper piping and manicured landscaping with automatic sprinkler system. Close to Caltrain and campuses of Apple, Yahoo, LinkedIn, HP and Microsoft."
a	81412024	11031930	717 Ocean View Avenue	San Mateo	CA	94401	37.5720253	-122.3051758	SFR	649000	725000	3	1	1220	Tar And Gravel	5220	(null)	"1 Car Carport, Attached, Guest Parking, Off Street Parking"	Neighborhood	Laundry Area - Inside	1949	(null)	Y	Level	Ranch	Wall Furnace	No Cooling	Wood	"Laminate, Wall to Wall Carpet"	(null)	"Ceiling Fan(s), Window Coverings"	0	0	0	0	32	"Adorable open floorplan in Shoreview with lots of room for everyone! 3rd bedroom is currently an open FR to dining/kitchen. (can be easily converted back to Bedroom #3) 2 bedroom wing with updated full bath; Plus home office (could be 4th bedroom!) off LR and a wonderful fun sunroom off kitchen/dining opening to flat grassy yard! Custom paint, crown molding, beautiful bamboo floors. Move right in!"
c	21413722	7097193	29 Vendola Dr	San Rafael	CA	94903	38.009968	-122.522835	SFR	479000	480000	2	1	825	Composition	10999	(null)	(null)	"Mountains, Water"	In Laundry Room	1943	1	(null)	(null)	Traditional	Wall Furnace	Ceiling Fan(s)	Stucco	"Hardwood, Vinyl/Linoleum"	(null)	PG&E	0	0	0	0	30	"Wonderful Santa Venetia location on the water. Two bedrooms, one full bath with hardwood floors. Tile in the bath with newer vanity. Very sweet kitchen with gas range and refrigerator included. Some new paint throughout the home. Back yard overlooking the water with a park like setting. Garden beds and a shed. New landscaping in front yard."
b	421919	10695740	162 Arbor St	SF - Glen Park	CA	94131	37.73732	-122.437225	SFR	895000	1200000	2	1	(null)	(null)	1860	(null)	"2 Garage Spaces, Garage, Automatic Door, Interior Access"	Panoramic	"Washer/Dryer, In Garage"	1950	(null)	(null)	(null)	(null)	Radiant	(null)	Stucco	Hardwood	(null)	Double Pane Window(s)	0	0	0	0	32	"Charming Home in Glen Park. This two + bedroom, one bath house is situated on a quiet street. Floor plans offers views from the living room and kitchen. Upstairs has two bedrooms looking out on the garden. Third bedroom/ office downstairs has direct access to the garden. Bathroom and Kitchen have been remodeled with great care. Home offers a radiant heating system, beautiful hardwood floors, new front windows and playhouse in the garden. Garage can handle two small cars and extra storage space. Short walk to Glen Park Village shops and restaurants or to Glen Park Canyon."
c	21408256	(null)	Address Withheld By Seller	Suisun City	CA	94585	0	0	SFR	330000	320000	4	3	1775	Shingle	6399	(null)	"2 Car, Garage, Attached, Auto Door, Interior Access, RV / Boat Parking"	(null)	In Laundry Room	1992	2	Y	Level	(null)	Central Heat	"Ceiling Fan(s), Central Air"	Stucco	"Laminate, Tile"	(null)	"Cable TV available, PG&E"	0	0	0	0	50	"Stunning 4 bedroom 3 bathroom home in Montebello Vista! Too many upgrades to list, come see this amazing property."
b	420352	10560710	1960 Jefferson St	SF - Marina	CA	94123	37.80480576	-122.4447327	CONDO	1395000	1735000	3	2	1826	(null)	(null)	(null)	"1 Garage Space, Attached, Enclosed, Automatic Door"	(null)	"Washer/Dryer, In Kitchen"	1931	(null)	Y	(null)	"Traditional, Spanish/Mediterranean"	Steam	(null)	(null)	Hardwood	(null)	(null)	0	0	0	0	49	A Wonderful sunfilled 2BR + sunroom Marina flat located one block from the Palace of Fine Arts & the Marina Harbor. This is a fantastic opportunity for those with a bit of vision to remodel and redesign. In Addition to this full floor flat (lower flat in 2 unit bldg) there is an unwarranted in-law apartment that may offer a number of expansion possibilities. One car s/s parking & extra storage & common rear garden. Building features many structural upgrades including steel framing. Here is a wonderful opportunity to build equity quickly.
c	21403238	12025422	1712 Madeira Cir	Petaluma	CA	94954	38.26781464	-122.6454086	SFR	530000	515000	4	2.5	1710	Tile	5227	(null)	"2 Car, Garage, Attached, Auto Door, Interior Access, Off Street Parking, On Street Parking, Unassigned Parking"	"Hills, Partial"	"Hookups Only, In Garage"	1993	2	Y	Level	Contemporary	"Central Heat, Fireplace, Natural Gas"	(null)	Wood Siding	"Laminate, Part Carpet, Part Hardwood, Vinyl/Linoleum"	(null)	"Smoke Alarm(s), Cathedral Ceiling, Window Coverings, Window Screens, Cable TV available, City Utilities, Gas Water Heater, Internet Available, PG&E, Cable TV"	0	0	0	0	147	"Location, Location! Here is an opportunity to own a home in desirable location close to Meadow Elementary School. Spacious light filled floor plan allows for the ideal gathering with friends and family. Accessible low maintance yard and patio provide a cozy area for outside enjoyment for BBQ or reading a book in a hammock. Custom woodwork arbor showcases the abundance of Yellow Tea Roses."
d	40663650	(null)	Address Withheld By Seller	Concord	CA	94520	0	0	SFR	329900	350000	3	2	1032	Composition Shingles	6600	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	Hookups Only	1953	1	Y	Regular	Ranch	Wall Furnace	"Ceiling Fan(s), Window / Wall Unit(s)"	Stucco	"Linoleum, Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	40	"Delightful single story home in a highly desirable Concord Community. New carpet, new vinyl flooring, two tone paint & fresh landscaping. Granite counters, stainless steel sink, Maytag Gas Range, Whirlpool Dishwasher/Microwave, and oak cabinets. Ceiling fans, many dual pane windows and a fireplace"
c	21410469	11815258	537 Pear Tree Ln	Fairfield	CA	94533	38.26774597	-122.0397797	SFR	219900	220000	3	1	936	Composition	6970	(null)	"1 Car, Attached, Interior Access"	(null)	Hookups Only	1963	1	(null)	Corner	Ranch	Central Heat	Central Air	Stucco	"Part Carpet, Tile"	(null)	PG&E	0	0	0	0	65	"Inviting corner lot home. This home has 3 bedrooms and 1 bathroom with 936 square feet of living space. The kitchen has granite counter tops and tile flooring along with a gas range, dishwasher, and microwave. Nice clean bathroom with tile flooring. Central heating and air conditioning Spacious backyard. Possible RV Parking Regular Sale by Owner. Not a Short Sale, Not Bank Owned."
c	21414360	(null)	Address Withheld By Seller	Santa Rosa	CA	95403	0	0	SFR	385000	405000	3	2	1554	Composition	8638	(null)	"2 Car, Attached, Side By Side, Off Street Parking"	(null)	"220 Volt Wiring, Hookups Only, In Garage"	1977	1	Y	"Cul-de-sac, Irregular"	Contemporary	"Central Heat, Gas"	(null)	Stucco	"Simulated Wood, Tile, Wall-to-Wall Carpet"	(null)	"Smoke Alarm(s), Window Coverings, Window Screens, Cable TV available, DSL Available, Gas Water Heater, Internet Available, PG&E"	0	0	0	0	56	"Large 3bedroom 2bath home on extra large lot in nice location on a culdesac. Room for RV, Boat, Toys. Formal living room and family room with large eating area and bar. Great yard for garden and kids to play."
a	81408439	11274081	3901 Lick Mill Boulevard #242	Santa Clara	CA	95054	37.39640045	-121.9427414	CONDO	549000	592000	2	2	1192	(null)	1307	(null)	"Electric Door or Gate Opener, Guest Parking, 2 Or More Car Carport"	(null)	Laundry Area - Inside	2005	(null)	(null)	(null)	(null)	Central Forced Air	Central Air	(null)	"Area Carpeting, Tile"	376	"Central Fire Alarm, Double Pane Window(s), High Ceilings, Balcony or Patio"	0	0	0	0	45	"Enjoy life in a Miraval home in the Rivermark Community. Beautiful 2 bed/2 bath open floor plan. Inner corner unit offers neutral colors and high ceilings with natural light throughout. Take pleasure in the beautiful outdoor spaces, swimming pool and workout room without ever leaving home. Close proximity to shopping and dining at the Rivermark Plaza. Unit has 2 assigned parking spots, #810 & #811"
c	21406748	11876883	873 Marshall Rd	Vacaville	CA	95687	38.34234238	-121.9795914	SFR	299000	310000	4	2	1602	(null)	6534	(null)	"2 Car, RV / Boat Parking"	(null)	In Garage	1975	2	Y	Level	Contemporary	Central Heat	Central Air	"Stucco, Wood Siding"	(null)	(null)	"Gas Water Heater, Internet Available, PG&E"	0	0	0	0	80	Charming 4home in central location of Vacaville! Enjoy views of green hills from a wonderfully sized back yard. Solar panels & dual pane windows/doors keep the PG&E very affordable and noise out. A beautiful redwood deck ideal for entertaining. Stamped concrete walkways & patio. Wired for hot-tub. Full bedroom and bathroom downstairs. Carpet/floors in great condition. Just a little updating will make this a great home! Open Sun.13th 1-3.
a	81411989	81021582	931 Glen Valley Terrace	Sunnyvale	CA	94085	37.39002988	-122.0191575	CONDO	649950	750500	2	2.5	1327	Tile	1055	(null)	"Attached, Gate/Door Opener, Tandem, 2 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer"	2010	(null)	(null)	(null)	Traditional	"Central Forced Air, Gas"	Central Air	(null)	"Area Carpeting, Tile"	291	"Central Fire Alarm, Window Covering(s), Double Pane Window(s), Balcony or Patio, Cable TV Available"	0	0	0	0	62	This truly gorgeous 2 bedrm in the heart of sunnyvale is ready for your fussy buyers. Great complex with gorgeous landscaping and community recreation room and theatre!! The condo has french doors in lr walkin closet in masterbedrm!Kitchen is supernice with ceasarstone countertops!Balcony off kitchen!Breakfast bar! Convenient location! Just show it and it will sell!
d	40660325	4216917	66 Hardester Court	Danville	CA	94526	37.7973175	-121.9807282	SFR	1146000	1118000	4	3	2837	Composition Shingles	11500	Pool	"3 Garage Spaces, Attached Garage, Interior Access From Garage, RV / Boat Parking, Side Yard Access, Garage Door Opener"	Las Trampas Foothills	In Laundry Room	1970	3	Y	"Court, Cul-de-sac, Level, Premium Lot, Regular"	Traditional	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Hardwood Floors, Laminate, Linoleum, Marble/Stone, Slate, Wall to Wall Carpet"	71	Window Coverings	1	0	0	0	57	"Exceptional & spacious Greenbrook beauty! Great court location. Expanded master bedrm suite. Updated kitchen opens to DR. Level .26/acre lot w large lawn area, spa, & extra side yard car/boat parking. Generous family room leads to back patio. Updates throughout! Comm pool & tennis. Close to trail"
d	40654222	3782991	743 Catalina Dr	Livermore	CA	94550	37.66353138	-121.7892234	SFR	700000	741500	4	2	1679	Composition Shingles	6817	(null)	"2 Garage Spaces, Attached Garage, Interior Access From Garage, RV / Boat Parking, Garage Door Opener"	(null)	In Garage	1965	1	Y	"Corner, Level, Regular"	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	"Stucco, Wood Siding"	"Hardwood Floors, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	38	"This 4 bedroom 2 bathroom ""Atrium"" model is a 10+. Very high quality upgrades throughout the home. Interior and exterior. RV Access with power and sewer hookups. Situated on a corner lot in ""Sunset West"". Don`t miss this opportunity to get into a beautiful home..."
a	81422856	11642393	263 Bieber Drive	San Jose - Blossom Valley	CA	95123	37.248455	-121.815855	SFR	619000	610000	4	2	1400	Composition	5000	(null)	"Attached, 2 Car Garage"	Neighborhood	"In Garage, Hookup - Gas Dryer"	1963	(null)	Y	(null)	(null)	Central Forced Air	Central Air	Stucco	"Tile, Hardwood, Linoleum or Vinyl"	(null)	"Window Covering(s), Double Pane Window(s), Ceiling Fan(s)"	0	0	0	0	64	"Excellent Value! Gorgeous Blossom Valley FOUR bedroom 2 bath home on quiet neighborly street. Beautiful refinished hardwood floors! New quartz counter tops, SS appliances, central air, double paned windows, cedar closets, oversized 2 car garage! Private backyard oasis with large patio for outdoor entertaining. 1/2 block from Miner Park. Tons of natural light. Move in Ready!"
d	40660838	4295493	2016 Mira Vista Dr	El Cerrito	CA	94530	37.93008041	-122.3125382	SFR	699000	650000	5	4	3090	Rolled Composition	5000	(null)	"2 Garage Spaces, Attached Garage"	(null)	"220 Volt Outlet, In Laundry Room"	1952	2	Y	Level	Contemporary	"Central Gravity, Gas"	(null)	Stucco	Wall to Wall Carpet	(null)	(null)	0	0	0	0	48	"Custom Built Mid Century Contemporary Home W/PANORAMIC VIEW & Guest House. Specious 4 Bedroom 3 Baths, Fireplace, Rec. Room, Beautiful Soring Wood Ceilings, New Paint & Carpet, Utility Room, Work Shop, 2 Car Attached Garage W/Interior Access. Level Yard. Zoned for Madera School-Close to Bart & I80"
d	40652407	4148439	248 Paso Nogal Rd	Pleasant Hill	CA	94523	37.96984863	-122.0758514	SFR	1199000	1135000	5	3.5	3830	Composition Shingles	52708	"Gas Heat, Gunite, In Ground, Pool Sweep"	"3 Garage Spaces, Attached Garage, Guest Parking, RV / Boat Parking"	(null)	"220 Volt Outlet, Hookups Only, In Laundry Room"	1961	1	Y	"Level, Premium Lot, Secluded"	Ranch	Forced Air 2 Zones	"Ceiling Fan(s), Central 2 or more Zones A/C"	Wood Siding	"Laminate, Tile, Wall to Wall Carpet, Wood"	(null)	"Central Vacuum, Security Alarm System - Leased"	1	0	0	0	98	"Private, gated estate property with MILLION DOLLAR VIEWS. This home is an entertainer's dream home with spacious indoor and outdoor living spaces perfect for pool parties and plenty of parking. Detached guest home or a home office. All this and 1.21 acres with views of downtown and Mt. Diablo..."
d	40656548	4227207	6197 Yardley Ln	San Ramon	CA	94582	37.75026	-121.897814	TOWNHOUSE	725000	725000	4	3	2347	Tile	(null)	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage"	(null)	In Laundry Room	2006	(null)	Y	Level	Mediterranean	Forced Air 1 Zone	Central 1 Zone A/C	Stone	"Hardwood Floors, Wall to Wall Carpet"	219	Window Coverings	1	0	0	0	72	Will be open Sunday 1-4. Best huge floor plan with high ceilings. Light and bright. Highly upgraded throughout. It is a 10! Cherry cabinets and floors. Granite counters. Full bed and bath down. 4th bedroom has no door or closet.
a	81422046	11536328	1448 Endicott Drive	San Jose - East Valley	CA	95122	37.341535	-121.828425	SFR	475000	468000	3	2	1228	Composition	6324	(null)	"Converted Garage, 2 Car Garage"	Neighborhood	(null)	1963	(null)	Y	(null)	Contemporary	Central Forced Air	(null)	Stucco	Tile	(null)	(null)	0	0	0	0	53	"Lovely 3bed/2bath Home Located on Quiet Tree lined Street on Corner Lot, Enclose Patio, 2 Car Garage, New Flooring in Bethrooms,hallway, New Paint,New kitchen counters New stucco, etc...Walking distance to school, shopping center, easy access to hwy 101 separate family room! Ready to move in."
a	81414396	11409907	3423 Merrimac Drive	Campbell	CA	95117	37.29611969	-121.9578934	SFR	799000	808000	4	2	1918	Wood Shakes/Shingles	6120	"In Ground Concrete, Cover, Pool"	"Gate/Door Opener, Guest Parking, Off Street Parking, RV or Boat Parking, 2 Car Garage"	Neighborhood	"In Laundry Room, Hookup - Gas Dryer, 220 Volt Outlet"	1963	(null)	(null)	Level	Traditional	Central Forced Air	Central Air	(null)	"Tile, Laminate, Hardwood, Marble"	(null)	Double Pane Window(s)	1	0	0	0	42	"Beautiful remodeled home situated in Campbell near Santana Row & downtown Campbell. Brazilian Cherry Hardwood floors, tiled bathrooms. Complete kitchen remodel.Wonderful Fruit trees, planter boxes add to the enjoyment of the spacious backyard. Separate downstairs family room which lends itself to a big screen TV, party room with slider to the backyard and pool.Great entertainer's home Don't miss"
d	40657225	3579397	549 Kenmore Ave	Oakland	CA	94610	37.81606293	-122.240181	SFR	675000	605000	3	2.5	1728	Tar And Gravel	10626	(null)	"2 Garage Spaces, Attached Garage, Off Street Parking"	Hills	"Hookups Only, In Laundry Room"	1962	3	(null)	Upslope	Traditional	Forced Air 1 Zone	(null)	Stucco	"Hardwood Floors Throughout, Laminate"	(null)	(null)	0	0	0	0	99	"Lovely two story home ideally located in desirable neighborhood minutes away from Lakeshore Ave shopping and dining. This home offers lots of natural light, terraced backyard, mature landscaping and 2 car garage. Easy access to schools/freeway."
d	40651182	3837424	2488 Regal Drive	Union City	CA	94587	37.60399246	-122.0510864	SFR	548000	548000	3	2	1349	Composition Shingles	6000	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, Hookups Only, In Garage"	1970	1	(null)	Regular	Contemporary	"Forced Air 1 Zone, Gas"	Ceiling Fan(s)	Stucco	"Tile, Vinyl, Wall to Wall Carpet"	(null)	"Security Alarm System - Owned, Window Coverings"	0	0	0	0	39	A golden opportunity not to be missed. Below market value property. With some money and some sweat equity buyer will have an after version home worth much more. Don?t miss out on this rare opportunity!!!!!!
a	81428027	11135751	2315 Armada Way	San Mateo	CA	94404	37.561893	-122.287987	TOWNHOUSE	710000	765000	2	2.5	1200	Tile	1200	Community Pool	"Detached, Gate/Door Opener, Guest Parking, Off Street Parking, 1 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer"	1979	(null)	Y	Court	Spanish	"Radiant, Electric"	(null)	(null)	"Tile, Wall to Wall Carpet, Hardwood"	425	"Window Covering(s), Balcony or Patio, Cable TV Available, Skylight(s)"	1	0	0	0	12	"Beautifully remodeled townhome! First open Sat.& Sun.Aug.9 & 10, 2-5 Remodeled kit., stainless appliances, hardwood flooring thru 1st floor. Plantation shutters most rooms.Lovely yard with tile patio. 1car gar.plus extra space outside."
d	40661740	4052219	5477 Rathdrum Court	Antioch	CA	94531	37.968094	-121.748444	SFR	439165	439165	3	2	2019	Tile	7298	(null)	"2 Garage Spaces, Garage Parking, Garage Door Opener"	(null)	"220 Volt Outlet, Gas Dryer Hookups"	2014	1	Y	Corner	Craftsman	Gas	Central 1 Zone A/C	Stucco	"Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	74	"Beautiful corner lot, on a cul ?de ?sac. The home includes stained beech cabinetry, 2 tone paint, stainless steel appliances and kitchen sink, Granite Slab Countertops and hand-set ceramic tile in the entry, kitchen, all bathrooms and the laundry. Ready for move-in in 30 days. BRENTWOOD SCHOOLS!"
c	21406960	7303362	3322 Cambridge Ct	Napa	CA	94558	38.314871	-122.331201	SFR	689000	689000	5	3	2731	Tile	20909	"Fiber Glass, In Ground"	3 Car	Hills	"220 Volt Wiring, Dryer Included, Hookups Only, Washer Included"	1989	2	Y	"Level, Downslope, City, Cul-de-sac"	Traditional	Central Heat	Central Air	Wood Siding	"Laminate, Part Carpet"	(null)	"Gas Water Heater, PG&E"	1	0	0	0	42	"Located in coveted Browns Valley. Park like setting oriented on a cul-de-sac in almost a half acre lot. This house features high cathedral ceilings, spacious master bedroom and the kitchen opens to the family room. Two fireplaces and a 5th bedroom downstairs. Views of the rolling hills, refreshing pool and landscaping."
c	21415827	11874609	167 Tahoe Dr	Vacaville	CA	95687	38.347256	-121.974556	SFR	290000	287500	3	2	1247	(null)	5227	(null)	2 Car	(null)	Hookups Only	1964	1	Y	Level	Contemporary	Central Heat	Central Air	Stucco	(null)	(null)	"City Utilities, PG&E"	0	0	0	0	37	(null)
c	21324481	11822191	503 Valle Vista Ave	Vallejo	CA	94590	38.11931229	-122.2410202	SFR	374950	359000	3	2	1869	Tar & Gravel	7405	(null)	"Side By Side, Carport(s), 2 Parking Spaces/Unit, Covered Parking, Off Street Parking"	(null)	"220 Volt Wiring, In Kitchen, In Laundry Room"	1955	1	Y	"Upslope, Corner, Regular"	(null)	Central Heat	(null)	Wood Siding	"Simulated Wood, Vinyl/Linoleum, Wall-to-Wall Carpet"	(null)	PG&E	0	0	0	0	201	very nice home in the Vallejo vista area country living in the city single level home in the Eichler-style. view of Sonoma County hills and Napa River from living and family room.
c	21402742	81327951	1 North Point Cir	Belvedere	CA	94920	37.877435	-122.472578	SFR	2400000	2350000	4	3	2540	(null)	9304	(null)	"2 Car, Interior Access, Side By Side"	"Bay, Hills, Water"	In Garage	1957	(null)	Y	"Level, Downslope, Cul-de-sac"	"Contemporary, Traditional"	Central Heat	(null)	Wood Siding	"Hardwood, Part Carpet"	(null)	"Security Alarm System - Leased, PG&E"	0	0	0	0	147	"Located on a cul-de-sac close to town, this warm & inviting home offers mostly single story living. Delightful front patio leads to the formal entry. Elegant living & dining rooms w/expansive deck feature views of the Lagoon & Tiburon hills. Master suite & 2 bedrooms on main level. Beautifully updated kitchen & baths. Upstairs is the office/den & downstairs is the 4th bedroom (suite) with separate entrance opening to the flat backyard."
d	40651286	3591011	1088 67th St.	Oakland	CA	94608	37.85012436	-122.28508	SFR	549000	610000	3	1	1400	Composition Shingles	3240	(null)	"2 Garage Spaces, Tandem Parking"	(null)	"Dryer, In Laundry Room, Washer"	1885	2	(null)	"Level, Regular"	Victorian	Central Gravity	(null)	Wood Siding	"Concrete Slab, Hardwood Floors, Tile"	(null)	(null)	0	0	0	0	117	"Expanded VIC has many original arch details, wainscoting, fir floors, big back yard, 4 bd, 1 ba, PLUS 3/4 bath and big room not counted in floor space. Fruit trees, basement with interior access, 2 tandem spots, excellent transit. NO MORE OPEN HOUSES. Contact agent to see it."
c	21411241	7097177	127 Mabry Way	San Rafael	CA	94903	38.01120377	-122.5226898	SFR	499000	606000	3	1	1145	(null)	7410	(null)	(null)	Hills	"Dryer Included, In Laundry Room, Washer Included"	1950	1	Y	Level	Craftsman	Central Heat	Central Air	Stucco	"Hardwood, Tile"	(null)	"Cable TV available, Gas Water Heater, Natural Gas, PG&E"	0	0	0	0	31	"A very clean, cute, and comfortable remodeled 1145 sq ft free standing, one-level home. So many upgrades over the past 5 years to include roof, floors, kitchen, bath, and paint among other improvements. With a spacious yard and a large lot there's room to grow......it's steps above most any condominium in Marin without any of the HOA fees."
a	81413540	85415296	809 East 16th Avenue	San Mateo	CA	94402	37.55966187	-122.305954	SFR	838000	1025000	3	2	1270	Shingle	4500	(null)	"Attached, 1 Car Garage"	Neighborhood	Laundry Area - In Garage	1947	(null)	Y	(null)	Traditional	Central Forced Air	Central Air	Stucco	"Partial Hardwood, Tile, Wall to Wall Carpet"	(null)	"Double Pane Window(s), Ceiling Fan(s)"	0	0	0	0	30	"Showcase ""Sunnybrae"" home. A welcoming living room w/gas fireplace. Gourmet kitchen w/granite counters/breakfast bar, travertine backsplash & flooring opens to dining area. Luxurious remod master suite & bth w/walk in closet. Remod hall bath. Access to private backyard retreat from rear bedroom. Many upgrades incl: Dual pane windows, Central air & AC, Copper plumb, Roof approx 8 yrs."
d	40667605	3590742	1077 65th Street	Oakland	CA	94608	37.848179	-122.283684	SFR	480000	490000	2	1.5	(null)	Composition Shingles	4400	(null)	Off Street Parking	Hills	Hookups Only	1909	1	Y	Regular	Fixer-Handyman Special	Gas	(null)	Wood Siding	"Tile, Vinyl, Wall to Wall Carpet"	(null)	Security Alarm System - Leased	0	0	0	0	28	"Fixer in nobe area, ""as is"" has a full basement not legal height owner has rented out basement as 3 bedroom, 1 bath in the past. Square footage is not verified by owner."
b	422119	10680130	616 Arlington St	SF - Glen Park	CA	94131	37.733746	-122.432304	SFR	899000	1200000	2	2	1400	(null)	(null)	(null)	"2 Garage Spaces, Attached, Garage, Interior Access"	Hills	Hookups Only	1938	(null)	Y	(null)	Traditional	"Central Heat, Gas"	(null)	Stucco	"Partial Carpet, Hardwood"	(null)	(null)	0	0	0	0	41	"Exceptionally elegant best describes this stylish Glen Park home. Flexible floor plan includes expansive living room with period details, formal dining room, 2 spacious bedrooms, 1 bathroom, sunny center patio, and an in-law for your guests or bonus family room. New wood floors added on lower level and in the kitchen. Wood floors upstairs were recently refinished to capture the true essence of this traditional home. Enjoy the sun or outdoor dining in your tranquil back patio which has a separate entrance onto the coveted Wilder St. Ideally located with easy access to 280 Freeway, BART, MUNI, shopping, cafes, parks, and many desirable restaurants. With a Walk Score of 88 this fabulous home is a true gem!"
a	81422671	11095207	912 Oakes Street	East Palo Alto	CA	94303	37.457939	-122.133583	SFR	785000	774500	4	2.5	2020	Composition	3022	(null)	"Attached, 2 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer, Hookup - Gas Dryer"	2000	(null)	(null)	Level	Contemporary	Central Forced Air	Central Air	Wood	"Laminate, Wall to Wall Carpet, Linoleum or Vinyl"	12	"Double Pane Window(s), High Ceiling"	0	0	0	0	58	"Rarely available, beautiful modern home w/custom granite counter-tops. Tree-lined community within walking distance of shopping, dining, park & minutes to downtown pa. Quality, comfort, openness & a sense of sanctuary. Large windows, natural lighting. Open santa clara floorplan - master suite w/ huge closet. Loft could be 4th bedroom."
